School,SchoolID,first_name,last_name,gender,OEN,Student Grade Level,Enrollment Status,Reporting Period,Resp,Ind Work,Init,Org,Coll,Self Regulation,Read,Write,Oral Comm,Media Lit,Listen French ,Speak French ,Read French ,Write French,Num Sense Numeration,Meas,Geom and Spatial,Patt and Alg,Data Mgt,Science and Tech,Hist,Geog,Soc Studies,Health,Phys Ed,Dance,Drama,Music,Vis Arts
3rd Street Elementary School,7980,Christa,Lambdon,Female,721975206,3,0,R1,G,S,S,S,G,S,B-,B-,C,B+,,,,,C-,C-,,C-,C+,B-,97,71,C,B,B-,B,B-,B,B
3rd Street Elementary School,7980,Timmie,Mosedall,Female,729108824,5,0,R1,S,S,S,N,S,S,C,C,C,C+,B-,B,D-,,C-,C-,C,C,C,C-,71,45,C-,C,C,,C+,B,C
3rd Street Elementary School,7980,Gardener,Sherbrooke,Male,169035987,5,0,R1,E,E,G,E,E,E,A,A,B+,A-,B,A,A,,A,A-,,A-,B+,A-,45,53,A,A-,A,,B+,B,A
3rd Street Elementary School,7980,Fraser,Aleksankov,Male,652348224,8,0,R1,E,E,E,E,E,E,85,91,90,90,86,72,70,74,77,,84,87,87,77,89,59,,80,85,,80,90,88
3rd Street Elementary School,7980,Ky,Spargo,Male,935653053,4,0,R1,S,G,G,S,G,S,A-,B-,B-,C-,A-,B+,,,C+,B+,,A-,B+,B-,60,44,A-,B+,B,,C-,B-,B-
3rd Street Elementary School,7980,Cirstoforo,Hannah,Male,222896374,3,0,R1,G,E,G,G,G,G,B,B+,B+,B,,,,,A-,A-,,A-,A-,B+,95,96,B-,B,B+,B+,B,B+,B
3rd Street Elementary School,7980,Jeramie,Oseman,Male,486683385,1,0,R1,E,E,E,E,E,E,A,A,A,A,,,,,A,B,A,A,,A,59,43,A,A-,A,,B-,B,B
3rd Street Elementary School,7980,Pieter,Baytrop,Male,590767824,6,0,R1,G,G,S,G,S,G,I,B-,B,A-,C+,B,B-,B-,C-,R,,I,I,B,78,52,B,B,B,B,,B-,I
3rd Street Elementary School,7980,Garrek,Gunning,Male,792426327,1,0,R1,,,,,,,,,,,,,,,,,,,,,69,44,,,,,,,
3rd Street Elementary School,7980,Ruperta,Biesterfeld,Female,252867000,3,0,R1,,,,,,,,,,,,,,,,,,,,,60,83,,C,C,,C,,
3rd Street Elementary School,7980,Marrissa,Oldmeadow,Female,940300056,2,0,R1,,,,,,,,,,,,,,,,,,,,,92,87,,,,,,,
3rd Street Elementary School,7980,Jerry,Swinfon,Male,626082160,2,0,R1,,,,,,,,,,,,,,,,,,,,,57,65,,,,,,,
3rd Street Elementary School,7980,Annmaria,Thorogood,Female,412350268,2,0,R1,G,G,G,G,E,G,C,C,A,B,,,,,B,B,B,B,,B,46,93,B,B+,A,,B+,B,B
